centre,vacancy_rate_2024,vacancy_rate_2025,turnover_rate_2024,turnover_rate_2025,average_rent_2br_2024,average_rent_2br_2025,rent_growth_pct_2024_2025,vacancy_change_pct_points,vacancy_quality_2025,rent_quality_2025,rent_growth_quality_2025,has_valid_vacancy_2025,has_valid_rent_2025,has_valid_rent_growth,is_caution_quality
St. John's CMA,2.1,2.0,14.1,13.0,1250.0,1361.0,7.6,-0.1,a,b,b,True,True,True,False
Charlottetown CA,0.7,1.6,9.1,9.8,1196.0,1300.0,4.7,0.9,c,a,d,True,True,True,True
Halifax CMA,2.1,2.7,10.0,9.0,1707.0,1826.0,6.7,0.6,a,a,b,True,True,True,False
Fredericton CMA,0.9,2.5,18.1,13.1,1341.0,1413.0,5.2,1.6,a,a,b,True,True,True,False
Moncton CMA,1.5,3.9,13.4,15.4,1353.0,1453.0,4.7,2.4,b,a,c,True,True,True,False
Saint John CMA,4.0,1.9,13.8,11.8,1229.0,1290.0,5.8,-2.1,c,a,c,True,True,True,False
Saguenay CMA,1.6,1.3,13.3,12.6,882.0,985.0,10.9,-0.3,a,a,c,True,True,True,False
Drummondville CMA,1.5,1.8,14.3,10.9,888.0,1045.0,,0.3,c,b,,True,True,False,False
Montréal CMA,2.1,2.9,11.1,9.4,1176.0,1346.0,7.2,0.8,a,a,a,True,True,True,False
Ottawa-Gatineau CMA (Qué. part),1.9,3.8,17.3,16.2,1353.0,1460.0,4.7,1.9,c,a,d,True,True,True,True
Québec CMA,0.9,2.4,13.9,13.0,1159.0,1277.0,6.1,1.5,a,a,b,True,True,True,False
Sherbrooke CMA,1.4,2.7,10.4,12.0,1002.0,1062.0,9.8,1.3,a,a,b,True,True,True,False
Trois-Rivières CMA,0.9,2.7,10.2,10.1,885.0,1016.0,6.6,1.8,b,a,b,True,True,True,False
Barrie CMA,3.4,4.3,12.7,12.8,1706.0,1755.0,4.3,0.9,b,a,c,True,True,True,False
Belleville - Quinte West CMA,3.5,3.4,15.9,16.9,1448.0,1484.0,,-0.1,c,a,,True,True,False,False
Brantford CMA,2.3,3.5,12.2,14.5,1438.0,1619.0,,1.2,c,a,,True,True,False,False
Guelph CMA,1.9,3.1,11.4,15.1,1740.0,1802.0,4.6,1.2,b,a,b,True,True,True,False
Hamilton CMA,2.4,3.6,9.5,13.1,1632.0,1656.0,1.6,1.2,a,a,c,True,True,True,False
Kingston CMA,2.9,2.4,16.4,17.3,1676.0,1764.0,2.4,-0.5,a,a,c,True,True,True,False
Kitchener-Cambridge-Waterloo CMA,3.6,4.1,12.0,16.1,1766.0,1832.0,3.3,0.5,b,a,b,True,True,True,False
London CMA,2.9,4.0,13.4,15.1,1548.0,1651.0,4.1,1.1,a,a,b,True,True,True,False
St. Catharines-Niagara CMA,3.8,3.9,12.4,12.8,1474.0,1527.0,5.5,0.1,b,a,c,True,True,True,False
Oshawa CMA,3.6,3.7,6.1,4.8,1686.0,1754.0,,0.1,b,a,,True,True,False,False
Ottawa-Gatineau CMA (Ont. part),2.6,3.0,14.5,15.4,1880.0,1926.0,3.4,0.4,b,a,b,True,True,True,False
Peterborough CMA,3.3,3.1,10.2,8.4,1506.0,1518.0,,-0.2,b,a,,True,True,False,False
Greater Sudbury/Grand Sudbury CMA,1.5,1.2,8.3,6.6,1462.0,1558.0,,-0.3,a,a,,True,True,False,False
Thunder Bay CMA,3.2,4.0,10.9,3.4,1443.0,1495.0,6.8,0.8,b,a,b,True,True,True,False
Toronto CMA,2.5,3.0,6.4,8.7,1974.0,2046.0,3.4,0.5,a,a,b,True,True,True,False
Windsor CMA,3.3,3.7,11.8,12.2,1387.0,1454.0,3.6,0.4,b,a,d,True,True,True,True
Winnipeg CMA,1.7,2.8,18.5,22.2,1507.0,1571.0,1.9,1.1,a,a,b,True,True,True,False
Regina CMA,2.6,2.7,31.6,27.6,1415.0,1473.0,4.2,0.1,a,a,a,True,True,True,False
Saskatoon CMA,2.0,3.3,28.6,19.3,1471.0,1548.0,5.2,1.3,a,a,a,True,True,True,False
Calgary CMA,4.8,5.0,23.6,24.9,1882.0,1914.0,,0.2,a,a,,True,True,False,False
Edmonton CMA,3.1,3.8,26.5,28.8,1536.0,1603.0,3.5,0.7,b,a,a,True,True,True,False
Lethbridge CMA,0.5,4.5,,46.3,1595.0,1706.0,6.7,4.0,d,a,c,True,True,True,True
Red Deer CMA,1.5,3.5,22.6,20.5,1363.0,1414.0,5.8,2.0,a,a,b,True,True,True,False
Abbotsford-Mission CMA,1.1,2.8,13.1,9.7,1493.0,1592.0,5.3,1.7,a,a,d,True,True,True,True
Chilliwack CMA,1.3,3.0,10.1,10.1,1402.0,1526.0,,1.7,b,a,,True,True,False,False
Kamloops CMA,1.4,1.2,14.7,17.6,1531.0,1679.0,,-0.2,a,a,,True,True,False,False
Kelowna CMA,3.8,6.4,23.8,29.6,1935.0,2118.0,2.4,2.6,b,a,c,True,True,True,False
Nanaimo CMA,2.9,2.2,20.2,23.6,1787.0,1910.0,3.5,-0.7,a,a,c,True,True,True,False
Vancouver CMA,1.6,3.7,9.1,11.6,2314.0,2363.0,2.2,2.1,a,a,b,True,True,True,False
Victoria CMA,2.6,3.3,14.6,18.8,1993.0,2120.0,5.1,0.7,a,a,b,True,True,True,False
