centre,vacancy_rate_2024,vacancy_rate_2025,vacancy_change_pct_points,turnover_rate_2024,turnover_rate_2025,average_rent_2br_2024,average_rent_2br_2025,rent_growth_pct_2024_2025,market_pressure_score,market_pressure_label,pressure_reason,is_caution_quality,province,city,geography_type
Nanaimo CMA,2.9,2.2,-0.7,20.2,23.6,1787.0,1910.0,3.5,3,High rent + low vacancy,High 2025 rent; Low 2025 vacancy; Vacancy tightening,0,BC,Nanaimo,CMA
St. John's CMA,2.1,2.0,-0.1,14.1,13.0,1250.0,1361.0,7.6,3,Low vacancy + rapid rent growth,Low 2025 vacancy; Rapid rent growth; Vacancy tightening,0,NL,St. John's,CMA
Saguenay CMA,1.6,1.3,-0.3,13.3,12.6,882.0,985.0,10.9,3,Low vacancy + rapid rent growth,Low 2025 vacancy; Rapid rent growth; Vacancy tightening,0,QC,Saguenay,CMA
Halifax CMA,2.1,2.7,0.6,10.0,9.0,1707.0,1826.0,6.7,2,High rent + rapid rent growth,High 2025 rent; Rapid rent growth,0,NS,Halifax,CMA
Kingston CMA,2.9,2.4,-0.5,16.4,17.3,1676.0,1764.0,2.4,2,Low vacancy + vacancy tightening,Low 2025 vacancy; Vacancy tightening,0,ON,Kingston,CMA
Kamloops CMA,1.4,1.2,-0.2,14.7,17.6,1531.0,1679.0,,2,Low vacancy + vacancy tightening,Low 2025 vacancy; Vacancy tightening,0,BC,Kamloops,CMA
Greater Sudbury/Grand Sudbury CMA,1.5,1.2,-0.3,8.3,6.6,1462.0,1558.0,,2,Low vacancy + vacancy tightening,Low 2025 vacancy; Vacancy tightening,0,ON,Greater Sudbury/Grand Sudbury,CMA
Saint John CMA,4.0,1.9,-2.1,13.8,11.8,1229.0,1290.0,5.8,2,Low vacancy + vacancy tightening,Low 2025 vacancy; Vacancy tightening,0,NB,Saint John,CMA
Québec CMA,0.9,2.4,1.5,13.9,13.0,1159.0,1277.0,6.1,2,Low vacancy + rapid rent growth,Low 2025 vacancy; Rapid rent growth,0,QC,Québec,CMA
Vancouver CMA,1.6,3.7,2.1,9.1,11.6,2314.0,2363.0,2.2,1,High rent,High 2025 rent,0,BC,Vancouver,CMA
Victoria CMA,2.6,3.3,0.7,14.6,18.8,1993.0,2120.0,5.1,1,High rent,High 2025 rent,0,BC,Victoria,CMA
Kelowna CMA,3.8,6.4,2.6,23.8,29.6,1935.0,2118.0,2.4,1,High rent,High 2025 rent,0,BC,Kelowna,CMA
Toronto CMA,2.5,3.0,0.5,6.4,8.7,1974.0,2046.0,3.4,1,High rent,High 2025 rent,0,ON,Toronto,CMA
Ottawa-Gatineau CMA (Ont. part),2.6,3.0,0.4,14.5,15.4,1880.0,1926.0,3.4,1,High rent,High 2025 rent,0,ON,Ottawa-Gatineau (Ont. part),CMA
Calgary CMA,4.8,5.0,0.2,23.6,24.9,1882.0,1914.0,,1,High rent,High 2025 rent,0,AB,Calgary,CMA
